しにうまにけられる	死に馬に蹴られる	名詞
くしのいちごん	九思の一言	名詞
そのことにそうろうさぶろう	その事に候	名詞
すすまぬかお	進まぬ顔	名詞
おぜんだて	お膳立て	名詞
ひとにはそうてみようまにはのってみよ	人には添うてみよ馬には乗ってみよ	名詞
かなづちのかわながれ	金槌の川流れ	名詞
いいこうい	以夷攻夷	名詞
かしらにかみあらばふとるべし	頭に髪あらば太るべし	名詞
みずいり	水入り	名詞
われにもあらず	我にもあらず	名詞
きをうしなう	気を失う	名詞
ごうにしずむ	業に沈む	名詞
おおきのもとでかさをぬげ	大木の下で笠を脱げ	名詞
せいちゅうのどう	静中の動	名詞
あたじけなすび	あたじけ茄子	名詞
でいすい	泥酔	名詞
こいはもうもく	恋は盲目	名詞
うでなしのふりずんばい	腕なしの振り飄石	名詞
したありやいなや	舌在りや否や	名詞
さんせいさんしょう	三省	名詞
うさぎへいほううさぎびょうほう	兎兵法	名詞
かいどうねむりいまだたらず	海棠睡り未だ足らず	名詞
いしょうをこらす	意匠を凝らす	名詞
きゅうぎゅうのいちもう	九牛の一毛	名詞
けんとうちがい	見当違い	名詞
しょうほのかんむりをくつにはく	章甫の冠を沓に履く	名詞
まかぬたねははえぬ	蒔かぬ種は生えぬ	名詞
こえをからす	声を嗄らす	名詞
すじがきどおり	筋書き通り	名詞
おやのことばとなすびのはなはせんにひとつのむだもない	親の言葉と茄子の花は千に一つの無駄もない	名詞
みずぬるむ	水温む	名詞
あめいせんそう	蛙鳴蝉噪	名詞
あっけにとられる	呆気に取られる	名詞
ぐうのねもでない	ぐうの音も出ない	名詞
らんか	爛柯	名詞
ねにもつ	根に持つ	名詞
ためしがない	例がない	名詞
きょをつく	虚を突く	名詞
せんじょうのつつみもぎけつよりくずるありあなより	千丈の堤も蟻穴より崩る	名詞
おおかみもの	狼者	名詞
ゆきとどく	行き届く	名詞
りょうけんぶかい	了見深い	名詞
すんのくび	寸の首	名詞
ほをはこぶ	歩を運ぶ	名詞
めをよろこばせる	目を喜ばす	名詞
とりさげる	取り下げる	名詞
めをひらく	目を開く	名詞
えどっこのちゃきちゃき	江戸っ子のちゃきちゃき	名詞
ぶつじょうそうぜん	物情騒然	名詞
みさげはてる	見下げ果てる	名詞
ちえいでてたいぎあり	知恵出でて大偽あり	名詞
そうこうのつまはどうよりくださず	糟糠の妻は堂より下さず	名詞
むてっぽう	無鉄砲	名詞
おんにきせる	恩に着せる	名詞
そんをかける	損を掛ける	名詞
よくをかく	欲を掻く	名詞
ひっぷひっぷ	匹夫匹婦	名詞
うけにいる	有卦に入る	名詞
こうをたつ	功を立つ	名詞
くんしはたのうをはず	君子は多能を恥ず	名詞
これさいわい	此れ幸い	名詞
せんこくしょうち	先刻承知	名詞
じめいのり	自明の理	名詞
しほうはっぽう	四方八方	名詞
ひとはぱんのみでいくるにあらず	人はパンのみにて生くる者に非ず	名詞
とりもなおさず	取りも直さず	名詞
ゆのじぎはみずになる	湯の辞宜は水になる	名詞
はらをわる	腹を割る	名詞
きようびんぼう	器用貧乏	名詞
めんどうをみる	面倒を見る	名詞
たなからぼたもち	棚から牡丹餅	名詞
れんりのまくら	連理の枕	名詞
てをねぶる	手を舐る	名詞
すずめかいちゅうにいってはまぐりとなる	雀海中に入って蛤となる	名詞
こいのせきもり	恋の関守	名詞
ましてやいわん	況してや言わん	名詞
ほどがある	程がある	名詞
おとこまさり	男勝り	名詞
