てんがちゃやのあだうち	【天下茶屋の仇討ち】慶長14年（　09）天下茶屋で起こった仇討ち事件。宇喜田秀家の家臣林重次郎源三郎兄弟が父のかたき当麻三郎右衛門	名詞
ろうがきぞめ	【蝋描き染（め）】生地に木蝋パラフィンなどで模様を描いて防染し、染めたのち、木蝋などを取り除いて模様を出す染色法。	名詞
しおに	【塩煮】塩味だけで煮ること。また、その料理。	名詞
さんぺいごう	【散兵壕】散兵が敵弾から身を守り、射撃するために掘る壕。	名詞
ぜんご	【前後】１ある位置を境にした、まえとうしろ。「―の車輪」「―を見回す」２時間的にみた、まえとあと。「	名詞
しひょう	【四表】四つの方角。四方。転じて、世の中。天下。「而して火熱は―に発散す」〈津田真道明六雑誌一七〉	名詞
さんだん	【讚談】１仏の功徳(くどく)をほめたたえ、語ること。また、その話。２事の是非を論じ合うこと。批評すること。「貴人、上	名詞
ちばな	【茅花】チガヤの花穂。つばな。	名詞
とつたかくけい	【凸多角形】すべての内角が二直角より小さい多角形。⇔凹多角形。	名詞
やくうん	【厄運】めぐり合わせの悪いこと。不運。	名詞
しんしょく	【浸食／浸蝕】流水雨水海水風氷河などが地表の岩石や土壌を削り取ること。また、その作用。「波が岩を―する」	名詞
おひやし	【御冷やし】水をいう女房詞。おひや。	名詞
ぬかぼし	【糠星】１夜空にちらばって見える、無数の星。２兜(かぶと)の鉢についている小さい星形の金具。	名詞
しまし	【暫し】《上代語》「しばし」の古形。「奈呉の海に舟―貸せ沖に出でて波立ち来やと見て帰り来む」〈万四〇三二〉	名詞
ちょうせんいたち	【朝鮮鼬】イタチ科の哺乳類。朝鮮半島の原産で、昭初期に日本に移入され、九州から関西にかけて野生化している。	名詞
ふせつ	【符節】「割り符」に同じ。	名詞
のうしゃ	【農舎】１収穫した農作物を処理するための小屋。２農家の家屋。いなかや。	名詞
さきょう	【左京】《内裏から南を向いて左側の意から》平城京および平安京を、朱雀大路(すざくおおじ)を境として東西に分けた東側。東の京	名詞
にゅうさんいんりょう	【乳酸飲料】「酸乳飲料」に同じ。	名詞
ゆうぐん	【友軍】味方の軍隊。「―機」	名詞
へんこうフィルム	【偏光フィルム】一定方向に振動する光だけを透過させるフィルム。液晶ディスプレーなどに使用される。	名詞
ていさつ	【偵察】ひそかに敵の動静などを探ること。「敵国の情勢を―する」「空中―」	名詞
じつぎょうせんもんがっこう	【実業専門学校】高等の実業教育を施した旧制の専門学校。高等工業学校高等商業学校高等農林学校など。	名詞
ちんそ	【賃苧】手間賃を取って麻を績(う)むこと。また、その麻。「私仕事に―績(う)み」〈浄丹波与作〉	名詞
さかさふじ	【逆さ富士】湖水などに映って逆さに見える富士山の影。	名詞
みもう	【味盲】特定の味についての味覚が先天的に欠如していること。大多数の人が感じるフェニルチオカルバミドおよび類似化合物の苦味を	名詞
すりしき	【修理職】「しゅりしき（修理職）」に同じ。「―、内匠寮(たくみづかさ)に宣旨下りて、二なう改め造らせ給ふ」〈源桐壺〉	名詞
ぜんちょう	【全長】その物の全体の長さ。	名詞
なげずきん	【投（げ）頭巾】四角い袋状に縫い、上端を後ろに折り垂らしてかぶる頭巾。江戸時代、傀儡師(くぐつし)飴(あめ)売りなどが着用。黒船頭巾。	名詞
しし	【獅子】１ライオン。古来、百獣の王とされる。２高麗から伝来したとされる、1に似た想像上の動物。木石金属などで作り	名詞
このかん	【此の間】１ある点からある点までの時間、または距離。このあいだ。「―約二時間が経過した」「―三日の行程」２ある事柄が経	名詞
しみだす	【染（み）出す／滲み出す】液体が、覆っている物を通して表面に出てくる。染み出る。「シャツに汗が―す」	名詞
こうちゅうやく	【口中薬】口内疾患の治療、または口内衛生のために用いる薬。	名詞
うすじ	【薄地】織物などの薄いもの。⇔厚地。	名詞
こころみに	【試みに】はっきりしない事柄を確かめるために、やってみるさま。「―一口食べてみる」	名詞
せいねん	【生年】１人の生まれた年。うまれどし。⇔没年。２生まれてから経過した年月。しょうねん。	名詞
えかがみ	【柄鏡】柄のついた円形の銅鏡。明(みん)からの輸入品の影響で、室町時代以降に多く作られた。	名詞
ひょうぐぐさり	【兵具鎖／兵具】兵具に用いる鎖。長円形の鐶(かん)を交互に通して折り返しつないだ鎖。多く、太刀の帯取りに用いた。俗に兵庫鎖(ひょう	名詞
がんあつ	【眼圧】眼球内の房水(ぼうすい)と硝子体(しょうしたい)の静水圧。眼球の形を維持し、角膜の透明性を保持する。房水の産生が多	名詞
ほえる	【吠える／吼える】　ほゆヤ下二］　１獣などが大声で鳴く。「虎が―える」２風波などが、荒れて大きな音を立	名詞
やち	【八千】はっせん。また、数がきわめて多いこと。多く他の語の上に付けて用いられる。「―草」	名詞
かわがらす	【川烏／河烏】スズメ目カワガラス科の鳥。全長22センチくらい。全身黒褐色。山間の渓流に留鳥として生息し、水中に潜って水底の昆虫な	名詞
けいせつ	【経説】１経書(けいしょ)の中に説かれている説。２経書の意義などを解説した書物。	名詞
こくさいじんけんしょうてん	【国際人権章典】国連総会で採択された世界人権宣言と国際人権規約（社会権規約自由権規約）の総称。社会権規約は「経済的、社会的及び文	名詞
がけい	【雅兄】１風雅の道で兄事する人。２男が男の友人に出す手紙文などで、相手を敬愛していう語。大兄。	名詞
どうりきがく	【動力学】力学のうちで、物体の運動と力との関係を取り扱う分野。→静力学	名詞
こうじん	【紅塵】１赤茶けて見える土ぼこり。市街地に立つ土ぼこりなどにもいう。「―三千丈の都会」〈独歩牛肉と馬鈴薯〉２俗人の	名詞
てんかつきゅう	【天蝎宮】黄道十二宮の第8宮。蠍(さそり)座に相当したが、歳差のため現在は乙女座の東部から天秤(てんびん)座にかけてにあたる	名詞
こわれ	【壊れ／毀れ】こわれること。こわれた物。「塀の―から犬が出入りする」「―瓶(がめ)」「―椅子」	名詞
さかしらびと	【賢しら人】利口ぶる人。また、おせっかいな人。「親にはあらで、むつかしき―の、さすがに、あはれに見え給ふ」〈源蛍〉	名詞
いちぜん	【一膳】１いくつかある膳の一つ。また、その料理。２飯などの一杯。	名詞
じゃくれい	【若齢／弱齢】年齢が若いこと。若年。	名詞
りょうのしゅうげ	【令集解】養老令の私撰の注釈書。50巻（現存35巻）。惟宗直本撰。貞観年間（859?877）ごろ成立。先行の諸注釈を集成し、	名詞
しえき	【四駅】江戸時代、江戸を起点とする五街道の最初の宿駅。日光奥州街道の千住(せんじゅ)、中山道の板橋、東海道の品川、甲州街	名詞
さきひづけこぎって	【先日付小切手】実際に振り出す日よりも将来の日付を振出日として記載した小切手。先付(さきづけ)小切手。	名詞
からこまげ	【唐子髷】中世から近世へかけての元服前の子供の髪の結い方の一。唐子のように髻(もとどり)から上を二つに分け、頭の上で二つの輪	名詞
けいこく	【惑】五星の一。火星の異称。光度の変化や逆行がはなはだしいので、その大接近は災いの前兆と考えられての名。けいわく。	名詞
だいおうざき	【大王崎】三重県、志摩半島南東端の岬。断崖上に灯台がある。伊勢志摩国立公園の景勝地の一。	名詞
もちなわ	【黐縄】鳥などを捕らえるために、もちを塗った縄。	名詞
れんぷくそう	【連福草】レンプクソウ科の多年草。山地に自生し、高さ815センチ。細長い地下茎が走り、地上部は柔軟。葉は長い柄があり、主に	名詞
